MESS_DATUM,WATER-LEVEL,DISCHARGE,  RS,RS1,RS2,RS3,RS7,RS14, RSF,FLOOD,PIVOT
1999-07-12,5.251428571428572,28.428571428571427,11.6,3.707054974371769,9.829418965652875,2.8750523876037284,7.731999135178789,2.99848185705018,6.0,0,3480
1999-07-19,5.601,24.857142857142858,7.7,5.755555742281222,4.5568353818122045,6.777024642958574,3.806140167339968,0.0,6.0,0,3487
1999-07-26,5.878857142857143,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3494
1999-08-02,4.973999999999999,21.571428571428573,0.0,0.0,0.8306805444182039,0.6169707689141003,0.4750375447574886,0.6758620455677612,0.0,0,3501
1999-08-09,6.930142857142856,30.428571428571427,0.0,6.868708129250736,15.472027633960536,0.0,0.8066251187381861,0.9027302093709454,6.0,0,3508
1999-08-16,9.981142857142856,46.142857142857146,0.9,1.3359715235584928,3.77783143864446,0.2557011037990078,1.5216527271394444,0.0,6.0,0,3515
1999-08-23,5.813571428571429,28.857142857142858,0.0,0.0,0.0,16.82249478258433,25.123002071528457,1.4124610293677744,0.0,0,3522
1999-08-30,11.050142857142857,38.199999999999996,0.0,0.0651254680493921,0.020359874528198,0.0,1.3085558170267009,2.304542702710812,0.0,0,3529
1999-09-06,5.774714285714286,24.214285714285715,2.1,1.5247928347923707,0.0,0.0,0.0,0.1243565806967018,6.0,0,3536
1999-09-13,5.198857142857142,22.857142857142858,0.0,0.0,0.7334855581595179,1.779171982036912,0.5421403519390842,2.5649654712410173,0.0,0,3543
1999-09-20,6.921428571428572,30.285714285714285,0.6,1.849789401133338,2.1165166594699105,12.92950415233312,0.6974912035417062,3.511208013031065,6.0,0,3550
1999-09-27,7.838285714285715,32.357142857142854,3.8,3.5536131057911344,15.79977002530131,25.32733976340407,44.99436844575168,1.927779498936057,6.0,0,3557
1999-10-04,13.11057142857143,58.528571428571425,2.5,2.4221305585546955,2.8998227251640536,0.3835227527094477,1.6688983208237864,2.4596698414878038,6.0,0,3564
1999-10-11,7.813714285714285,46.214285714285715,2.0,0.0,0.0,0.0,0.0,0.0927070853624725,6.0,0,3571
1999-10-18,4.447857142857143,24.357142857142858,0.0,0.0,0.0,0.0251946308693293,0.2,4.114944897660596,0.0,0,3578
1999-10-25,5.139285714285714,27.857142857142858,0.2,0.1383542831554631,0.0,0.0,2.8865321668388537,6.107419393456814,6.0,0,3585
1999-11-01,5.558857142857143,30.928571428571427,6.4,5.922676841531184,0.0,0.0,0.0,0.8058037798780306,6.0,0,3592
1999-11-08,5.225714285714285,37.57142857142857,1.2,2.667422390238685,0.2653167017348652,0.3045422093143087,0.0,0.0709722782877584,6.0,0,3599
1999-11-15,4.815714285714286,38.84285714285714,0.0,1.105742126534998,9.17723266940358,8.656147699430788,10.965510578349011,2.533419218214293,0.0,0,3606
1999-11-22,5.480142857142858,43.142857142857146,10.9,9.166845832818051,1.334919163519208,0.0,3.28514291780671,1.3334567778372768,8.0,0,3613
1999-11-29,8.835142857142857,65.02857142857142,0.0,1.5883961881970343,3.6844836468913407,7.0037522704241,5.088460530385933,8.466480130151464,0.0,0,3620
1999-12-06,7.621285714285714,55.728571428571435,6.8,18.589152189896765,8.380712687944316,4.701597150252589,7.259530285506193,5.8829006829343,6.0,0,3627
1999-12-13,26.02557142857143,153.8857142857143,13.0,12.817003913402766,1.458452983154915,1.3110225807137628,1.5164439036683302,0.0,6.0,0,3634
1999-12-20,31.232428571428574,183.0142857142857,0.0,0.0,3.043595096923758,3.425016928707353,4.272690409338918,7.979404164179014,0.0,0,3641
1999-12-27,25.384428571428572,152.08571428571426,4.9,3.2476952875926752,7.827697140804583,15.147000023699531,12.084298408178702,2.571023420765062,8.0,0,3648
2000-01-03,23.389999999999997,153.28571428571428,10.8,13.534293262147186,4.345460909417393,1.161942756708496,3.9649315179324662,1.419354707909025,6.0,0,3655
2000-01-10,18.246285714285715,127.45714285714287,0.0,0.0,0.0,0.0202364949415851,1.160885899415134,0.5079138093814698,0.0,0,3662
2000-01-17,8.353142857142856,70.7,2.8,2.051202012566313,0.0,0.672886646507632,0.0,3.396111547428218,6.0,0,3669
2000-01-24,6.9595714285714285,59.957142857142856,0.0,0.0,0.0,0.0,4.57004137692496,4.623925872719046,0.0,0,3676
2000-01-31,24.149714285714285,108.5,5.3,1.6952159817076995,3.964429193734862,3.247120149244725,4.511279242939089,8.609408123960208,6.0,0,3683
2000-02-07,20.950142857142858,122.08571428571429,4.6,16.514767556002795,0.0,0.0,6.158439924985425,5.580911001577997,6.0,0,3690
2000-02-14,22.593285714285713,131.17142857142858,7.2,7.923739142107439,8.81547411460852,6.279099272660595,5.535706159730104,10.242544850175276,6.0,0,3697
2000-02-21,23.677,130.0,0.4,0.1014896783356632,3.738238453392784,2.486566696206676,28.006881817097756,5.129911438224665,6.0,0,3704
2000-02-28,25.99757142857143,140.9,11.8,10.358284150209457,10.993204235133296,5.704387814013949,1.9651477829215376,1.1995083308077588,6.0,0,3711
2000-03-06,34.798,162.97142857142856,0.0,0.192748749792655,12.664239796888578,14.517397122296709,4.003238715451813,2.2648250781304906,0.0,0,3718
2000-03-13,31.506571428571426,160.29999999999998,2.0,7.881815866064468,6.165225728254024,4.165987568683979,3.4814510774874767,0.0,6.0,0,3725
2000-03-20,15.58542857142857,98.5,0.0,0.0,0.0,0.0,0.0,1.5246192158976395,0.0,0,3732
2000-03-27,10.295,69.17142857142856,0.0,2.659723871933368,1.7,1.3415118939659547,1.5899288443674713,2.049584496700686,0.0,0,3739
2000-04-03,11.173428571428571,72.02857142857142,2.0,4.086644339371377,3.64307669319909,0.0,0.0,0.0,6.0,0,3746
2000-04-10,5.3745714285714286,35.84285714285714,0.0,1.9952621833227628,4.184295458326596,4.406049178512281,3.954774246477979,0.2855249565606714,0.0,0,3753
2000-04-17,4.687714285714286,30.242857142857144,0.0,0.0,0.0,0.0,0.7489505122665987,0.3019023050219944,0.0,0,3760
2000-04-24,4.307142857142857,27.357142857142858,0.6,0.8544929634639926,0.0,0.0,0.0,0.7380580556488976,6.0,0,3767
2000-05-01,4.4157142857142855,25.02857142857143,0.0,0.0,0.7116307484653965,0.5161226398127724,0.6956816502319014,0.3018670593516304,0.0,0,3774
2000-05-08,4.353571428571429,23.37142857142857,1.4,1.5988560272159351,7.147155762842732,0.0,0.0,1.5528357446161132,6.0,0,3781
2000-05-15,5.364,23.814285714285713,0.0,0.0,0.0,4.783336066601236,3.409973327004148,3.158062927538533,0.0,0,3788
